ref,name,address,lat,long,description,,,,,,,
1,Науково-дослідний інститут геодезії і картографії,"м. Київ, вул.Велика Васильківська, 69",50.428773,30.516400,"<div align=""center""><b>Науково-дослідний інститут геодезії і картографії</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 03150<br>
<u>Адреса:</u> м. Київ, вул. Велика Васильківська, 69<br>
<u>Телефони:</u> +38(044)287-06-84<br>
<a href=""http://www.gki.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@gki.com.ua<br>",,,,,,,
2,Науково-дослідний і виробничий центр аерокосмічної інформації “Природа”,"м. Київ, проспект Академіка Глушкова 40, корпус 4/1",50.363816,30.445754,"<div align=""center""><b>Науково-дослідний і виробничий центр аерокосмічної інформації ""Природа""</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 03680<br>
<u>Адреса:</u> м. Київ, проспект Академіка Глушкова 40, корпус 4/1<br>
<u>Телефони:</u> +38(044)526-52-17<br>
<a href=""http://www.pryroda.gov.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> grekov@pryroda.gov.ua<br>",,,,,,,
3,Науковий Центр аерокосмічних досліджень Землі (ЦАКДЗ),"м. Київ, вул. О. Гончара, 55-б",50.449268,30.501303,"<div align=""center""><b>Науковий Центр аерокосмічних досліджень Землі (ЦАКДЗ)</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 01601<br>
<u>Адреса:</u> м. Київ, вул. О. Гончара, 55-б<br>
<u>Телефони:</u> +38(044)296-71-71<br>
<a href=""http://www.casre.kiev.ua/uk/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> casre@casre.kiev.ua<br>",,,,,,,
4,Інститут передових технологій ,"м. Київ, вул. Попудренка, 54",50.460263,30.635098,"<div align=""center""><b>Інститут передових технологій</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 02660<br>
<u>Адреса:</u> м. Київ, вул. Попудренка, 54, офіс 203<br>
<u>Телефони:</u> +38(044)292-20-27<br>
<a href=""http://iat.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> iat@antex.kiev.ua<br>",,,,,,,
5,Український центр менеджменту землі та ресурсів,"м. Київ, Чоколівський бульвар, 13",50.429597,30.455960,"<div align=""center""><b>Український центр менеджменту землі та ресурсів</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 03186<br>
<u>Адреса:</u> м. Київ, Чоколівський бульвар, 13<br>
<u>Телефони:</u> +38(044)230-22-66<br>
<a href=""http://www.ulrmc.org.ua/index_ru.html"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
6,Український державний головний науково-дослідний та виробничий інститут інженерно-технічних та екологічних вишукувань (УкрНДІІНТВ),"м. Харків, просп. Леніна, 38",50.022898,36.224747,"<div align=""center""><b>Український державний головний науково-дослідний та виробничий інститут інженерно-технічних та екологічних вишукувань (УкрНДІІНТВ)</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 61166<br>
<u>Адреса:</u> м. Харків, просп. Леніна, 38, пов. 7 к. 701<br>
<u>Телефони:</u> +38(044)287-06-84<br>
<a href=""http://www.niintiz.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@gki.com.ua<br>",,,,,,,
7,Інститут геологічних наук НАН України,"м. Київ, вул. О. Гончара, 55-б",50.449119,30.501271,"<div align=""center""><b>Інститут геологічних наук НАН України</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 01054<br>
<u>Адреса:</u> м. Київ, вул. О. Гончара, 55-б<br>
<u>Телефони:</u> +38(044)486-94-46<br>
<a href=""http://igs-nas.org.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> shekhun@igs-nas.org.ua<br>",,,,,,,
8,Інститут космічних досліджень НАНУ-НКАУ," м. Київ, проспект Академiка Глушкова, 40",50.363847,30.446489,"<div align=""center""><b>Інститут космічних досліджень НАНУ-НКАУ</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 03680<br>
<u>Адреса:</u> м. Київ, проспект Академiка Глушкова, 40<br>
<u>Телефони:</u> +380(44)5224783, +380(44)5262553<br>
<a href=""http://inform.ikd.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> inform@ikd.kiev.ua<br>",,,,,,,
9,Інститут географії НАН України,"м. Київ, вул. Володимирська, 44",50.447990,30.513816,"<div align=""center""><b>Інститут географії НАН України</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 01034<br>
<u>Адреса:</u> м. Київ, вул. Володимирська, 44<br>
<u>Телефони:</u> +38(044)287-06-84<br>
<a href=""http://igu.org.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geo-ins@kiev.ldс.net<br>",,,,,,,
10,Державний автотранспортний науково-дослідний і проектний інститут,"м. Київ, пр. Перемоги, 57",50.458427,30.418312,"<div align=""center""><b>Державний автотранспортний науково-дослідний і проектний інститут</b></div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 03113<br>
<u>Адреса:</u> м. Київ, пр. Перемоги, 57<br>
<u>Телефони:</u> +38(044)456-30-30, +38(044)201-08-10<br>
<a href=""http://www.insat.org.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@insat.org.ua <br>",,,,,,,
