ref,name,address,lat,long,description,master1,master2,master3,master4,master5,master6,master7,master_count,master_label
1,Білоцерківський національний аграрний університет,"Київська область, м. Біла Церква, площа Соборна, 8/1",49.791549,30.112211,"<div align=""center""><b>Білоцерківський національний аграрний університет</b></div>
<div align=""left"">ОКР ""Бакалавр""</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 09117<br>
<u>Адреса:</u> Київська область, м. Біла Церква, площа Соборна, 8/1<br>
<u>Телефони:</u> (04563)5-12-88<br>
<a href=""http://www.btsau.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> pk_bnau@ukr.net<br>",,,,,,,,0,0
2,"Відокремлений структурний підрозділ ""Інститут післядипломної освіти Київського національного університету будівництва і архітектури"""," м.Київ, вул. Освіти, 4",50.426495,30.464263,"<div align=""center""><b>Відокремлений структурний підрозділ ""Інститут післядипломної освіти Київського національного університету будівництва і архітектури""</b></div>
<div align=""left"">ОКР ""Бакалавр""</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 03037<br>
<u>Адреса:</u> м.Київ, вул. Освіти, 4<br>
<u>Телефони:</u> (044)275-20-56<br>
<a href=""http://www.ipo-knuba.edu.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> office@ipo-knuba.edu.ua<br>",,,,,,,,0,0
3,"Державний вищий навчальний заклад ""Криворізький національний університет""","Дніпропетровська область, м. Кривий Ріг, вул. XXII Партз`їзду, 11",47.905207,33.401353,"<div align=""center""><b>Державний вищий навчальний заклад ""Криворізький національний університет""</b></div>
      <div align=""left"">ОКР ""Бакалавр"", ""Магістр"" (навчання за напрямком: <font color=""#FF8C00"">Геодезія</font>)</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 50027<br>
<u>Адреса:</u> Дніпропетровська область, м. Кривий Ріг, вул. XXII Партз`їзду, 11<br>
<u>Телефони:</u> 0564090606<br>
<a href=""http://www.knu.edu.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> knu@alba.dp.ua<br>",1,,,,,,,1,1
4,"Державний вищий навчальний заклад ""Національний гірничий університет""","Дніпропетровська область, м. Дніпропетровськ, проспект Карла Маркса, 19",48.4556,35.061833,"<div align=""center""><b>Державний вищий навчальний заклад ""Національний гірничий університет""</b></div>
   <div align=""left"">ОКР ""Бакалавр"", ""Магістр"" (навчання за напрямком: <font color=""#00BFFF"">Геоінформаційні системи і технології</font>)</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 49005<br>
<u>Адреса:</u>  Дніпропетровська область, м. Дніпропетровськ, проспект Карла Маркса, 19<br>
<u>Телефони:</u> +38(056)744-62-19<br>
<a href=""http://www.nmu.org.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> nmu@nmu.org.ua<br>",,,,,1,,,1,2
5,"Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""","Дніпропетровська область, м. Дніпропетровськ, вул. Чернишевського, 24-а",48.453344,35.053659,"<div align=""center""><b>Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""</b></div>
<div align=""left"">ОКР ""Бакалавр""</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 49005<br>
<u>Адреса:</u> Дніпропетровська область, м. Дніпропетровськ, вул. Чернишевського, 24-а<br>
<u>Телефони:</u> (0562)47-08-66<br>
<a href=""http://www.pgasa.dp.ua"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> prkom@mail.pgasa.dp.ua<br>",,,,,,,,0,0
6,"Державний вищий навчальний заклад ""Ужгородський національний університет""","Закарпатська область, м. Ужгород, вул. Університетська, 14",48.635621,22.290562,"      
<div align=""center""><b>Державний вищий навчальний заклад ""Ужгородський національний університет""</b></div>
<div align=""left"">ОКР ""Бакалавр"", ""Магістр"" (навчання за напрямком: <font color=""#008000"">Землеустрій та кадастр</font>)</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 88000<br>
<u>Адреса:</u> Закарпатська область, м. Ужгород, вул. Університетська, 14<br>
<u>Телефони:</u> +38(03122)3-33-41<br>
<a href=""http://www.uzhnu.edu.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> official@uzhnu.edu.ua<br>",,,1,,,,,1,3
7,"Державний вищий навчальний заклад ""Херсонський державний аграрний університет""","Херсонська область, м. Херсон, вул. Р.Люксембург, 23",46.642352,32.584386,"<div align=""center""><b>Державний вищий навчальний заклад ""Херсонський державний аграрний університет""</b></div>
<div align=""left"">ОКР ""Бакалавр""</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 03037<br>
<u>Адреса:</u> Херсонська область, м. Херсон, вул. Р.Люксембург, 23<br>
<u>Телефони:</u> 41-44-30<br>
<a href=""http://www.ksau.kherson.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> office@ksau.kherson.ua<br>",,,,,,,,0,0
8,Донбаська національна академія будівництва і архітектури,"Донецька область, Макіївка, вул. Державіна, 2",48.020709,37.902994,"<div align=""center""><b>Донбаська національна академія будівництва і архітектури</b></div>
<div align=""left"">ОКР ""Бакалавр""</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u>86123<br>
<u>Адреса:</u> Донецька область, Макіївка, вул. Державіна, 2<br>
<u>Телефони:</u> +38(0623)22-24-67<br>
<a href=""http://www.donnasa.edu.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> mailbox@donnasa.edu.ua<br>",,,,,,,,0,0
9,Донецький національний технічний університет,"Донецька область, м. Донецьк, вул. Артема, 58",47.995252,37.804187,"<div align=""center""><b>Донецький національний технічний університет</b></div>
<div align=""left"">ОКР ""Бакалавр"", ""Магістр"" (навчання за напрямками: <font color=""#FF8C00"">Геодезія</font>, <font color=""#008000"">Землеустрій та кадастр</font>, <font color=""#00BFFF"">Геоінформаційні системи і технології</font>)</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 83001<br>
<u>Адреса:</u> Донецька область, м. Донецьк, вул. Артема, 58<br>
<u>Телефони:</u> (062)301-08-89<br>
<a href=""http://www.donntu.edu.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@dgtu.donetsk.ua<br>",1,,1,,1,,,3,4
10,Житомирський національний агроекологічний університет ,"Житомирська область, м. Житомир, бульвар Старий, 7",50.248692,28.66808,"<div align=""center""><b>Житомирський національний агроекологічний університет</b></div>
<div align=""left"">ОКР ""Бакалавр""</div>
<div align=""center""><i>Контактні дані</i></div>
<u>Поштовий індекс:</u> 10008<br>
<u>Адреса:</u> Житомирська область, м. Житомир, бульвар Старий, 7<br>
<u>Телефони:</u> +38(0412)374931<br>
<a href=""http://www.znau.edu.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> ecos@znau.edu.ua<br>",,,,,,,,0,0
