ref,name,address,lat,long,description,,,,,,,
1,"Державне науково-виробниче підприємство ""Картографія""","м. Київ, вул. Попудренка, 54",50.460331,30.635121,"<div align=""center""><b>Державне науково-виробниче підприємство ""Картографія""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02094<br>
<u>Адреса:</u> м. Київ, вул. Попудренка, 54<br>
<u>Телефони:</u> +38(044)292-40-33<br>
<a href=""http://www.ukrmap.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> admin@ukrmap.com.ua<br>",,,,,,,
2,"Державне підприємство ""Західгеодезкартографія""","м. Львів, вул. Хмельницького, 120",49.854658 ,24.044716,"<div align=""center""><b>Державне підприємство ""Західгеодезкартографія""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 79024<br>
<u>Адреса:</u> м. Львів, вул. Хмельницького, 120<br>
<u>Телефони:</u> (032)252-03-21, (032)298-63-72<br>
<u>E-mail:</u> geodezija@gal.ukrpack.net<br>",,,,,,,
3,"Державне підприємство ""Закарпатгеодезцентр""","м. Мукачево, вул. Грушевського, 39/11",48.445563,22.722639,"<div align=""center""><b>Державне підприємство ""Закарпатгеодезцентр""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 89600<br>
<u>Адреса:</u> Закарпатська область, м. Мукачево, вул.Грушевського, 39\11<br>
<u>Телефони:</u> (3803131)38757, (3803131)55041, (3803131)32313<br>
<a href=""http://www.zakgeo.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geo@geodez.mk.uzhgorod.ua, geo@zakgeo.com.ua<br>",,,,,,,
4,"Державне науково-виробниче підприємство ""Укрінжгеодезія""","
м. Київ, Новопечерський пров., 3",50.422027,30.527028,"<div align=""center""><b>Державне науково-виробниче підприємство ""Укрінжгеодезія""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 01042<br>
<u>Адреса:</u> м. Київ, Новопечерський пров., 3, корпус 2<br>
<u>Телефони:</u> 044-528-74-24, 044-528-72-35<br>
<a href=""http://www.ukrgeo.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> sekretar@ukrgeo.com, admin@ukrgeo.com<br>",,,,,,,
5,"Державне підприємство ""Укркартгеофонд""","
м. Київ, Новопечерський пров., 3",50.422066,30.526897,"<div align=""center""><b>Державне підприємство ""Укркартгеофонд""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 01042<br>
<u>Адреса:</u> м. Київ, Новопечерський пров., 3, корпус 2<br>
<u>Телефони:</u> 044-529-25-10, 044-521-14-73<br>
<u>E-mail:</u> ukrgeofond@i.ua<br>",,,,,,,
6,"Державне підприємство ""УкрДАГП""","м. Київ, Червоноармійська вул., 69",50.428679,30.516435,"<div align=""center""><b>Державне підприємство ""УкрДАГП""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 03150<br>
<u>Адреса:</u> м. Київ, Червоноармійська вул., 69<br>
<u>Телефони:</u> 044-289-43-20, 044-226-33-09<br>
<a href=""  http://www.ukrdagp.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> ukrdgp@Ln.ua, info@ukrdagp.com<br>",,,,,,,
7,"Державне підприємство ""Укргеоінформ""","м. Київ, вул. Попудренка, 54",50.459997,30.635008,"<div align=""center""><b>Державне підприємство ""Укргеоінформ""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02660<br>
<u>Адреса:</u> м. Київ, вул. Попудренка, 54<br>
<u>Телефони:</u> +380(44)296-60-51, +380(44)292-02-00, +380(44)494-37-45<br>
<u>E-mail:</u> ukrgeoinform@nbi.com.ua<br>",,,,,,,
8,"Київське державне підприємство ""Київгеоінформатика""","м. Київ, вул. Попудренка, 55",50.460337,30.635212,"<div align=""center""><b>Київське державне підприємство ""Київгеоінформатика""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02660<br>
<u>Адреса:</u> м. Київ, вул. Попудренка, 54<br>
<u>Телефони:</u> (044)292-51-66, 296-60-12<br>
<a href=""http://kgi.org.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@kgi.org.ua<br>",,,,,,,
9,"Державне підприємство ""Поліськгеодезкартографія""","м. Житомир, вул. Монтана, 18",50.266428,28.675197,"<div align=""center""><b>Державне підприємство ""Поліськгеодезкартографія""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 10029<br>
<u>Адреса:</u> м. Житомир, вул. Монтана, 18<br>
<u>Телефони:</u> (0412)418196, (0412)367294<br>
<a href=""http://pgkzhytomyr.narod.ru/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> gontchar@zt.ukrtel.net<br>",,,,,,,
10,"Державне підприємство ""Поділлягеодезкартографія""","м. Вінниця, Келецька вул., 63",49.224817,28.415133,"<div align=""center""><b>Державне підприємство ""Поділлягеодезкартографія""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 21027<br>
<u>Адреса:</u> м. Вінниця, Келецька вул., 63<br>
<u>Телефони:</u> +380043246-47-25<br>
<a href=""http://podillyageo.prom.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> podgeokart@ukrpost.ua<br>",,,,,,,
